lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
E01000151,1657,0.4365,31.9603333333333,0.653,0.609535304767652,0.302957151478576,0.0832830416415208
E01000152,2731,0.233,21.1926666666667,-1.165,0.654705236177224,0.266202856096668,0.0878798974734529
E01000153,1842,0.324,28.0053333333333,0.178,0.653637350705755,0.225298588490771,0.146036916395223
E01000154,1839,0.298,23.8686666666667,0.141,0.697117998912452,0.206090266449157,0.117455138662316
E01000156,1980,0.1195,18.949,-0.754,0.64040404040404,0.244444444444444,0.153030303030303
E01000157,1565,0.188,22.136,-0.752,0.64408945686901,0.235782747603834,0.164217252396166
E01000158,1494,0.1705,23.679,-0.77,0.647925033467202,0.197456492637216,0.214859437751004
E01000159,1749,0.1415,21.6746666666667,-0.877,0.65008576329331,0.164665523156089,0.260148656375071
E01000160,1893,0.167,18.954,-0.734,0.695192815636556,0.194400422609614,0.154252509244585
E01000161,2043,0.221,23.633,0.295,0.629955947136564,0.198237885462555,0.201174743024963
E01000162,1675,0.176,24.3276666666667,-0.944,0.572537313432836,0.178507462686567,0.300298507462687
E01000163,1687,0.3055,27.2116666666667,0.247,0.678126852400711,0.222288085358625,0.126259632483699
E01000164,1675,0.3155,30.9586666666667,-0.038,0.660298507462687,0.22865671641791,0.167164179104478
E01000165,1740,0.205,17.4626666666667,-1.206,0.62816091954023,0.200574712643678,0.225287356321839
E01000166,1618,0.1875,19.524,-0.829,0.587762669962917,0.208281829419036,0.26885043263288
E01000167,1350,0.264,25.095,0.095,0.659259259259259,0.20962962962963,0.202962962962963
E01000168,1488,0.076,13.1393333333333,-1.288,0.579301075268817,0.173387096774194,0.32258064516129
E01000169,1554,0.141,21.2246666666667,-1.017,0.654440154440154,0.184684684684685,0.231016731016731
E01000170,1907,0.2,25.3873333333333,-0.576,0.65443104352386,0.201887781856319,0.178290508652334
E01000171,2297,0.318,28.7016666666667,-0.061,0.670875054418807,0.251632564214192,0.0979538528515455
E01000172,1677,0.0925,18.2626666666667,-1.294,0.579010137149672,0.231961836612999,0.256410256410256
E01000173,1615,0.121,21.6936666666667,-1.162,0.604953560371517,0.226625386996904,0.208668730650155
E01000174,1694,0.2215,28.946,-0.11,0.634592680047225,0.224911452184179,0.174144037780401
E01000175,1980,0.0795,17.3853333333333,-2.218,0.579292929292929,0.245959595959596,0.212121212121212
E01000176,1679,0.2635,28.163,0.155,0.642048838594401,0.149493746277546,0.258487194758785
E01000177,1663,0.1025,24.8123333333333,-1.556,0.612748045700541,0.228502705953097,0.180998196031269
E01000178,1634,0.123,22.8773333333333,-1.081,0.618115055079559,0.22093023255814,0.211138310893513
E01000179,1770,0.1205,20.381,-1.041,0.673446327683616,0.243502824858757,0.131638418079096
E01000180,1697,0.246,21.6676666666667,-0.584,0.624042427813789,0.192103712433707,0.24572775486152
E01000181,1702,0.069,25.13,-1.579,0.650411280846063,0.171562867215041,0.206815511163337
E01000182,1618,0.0705,23.9553333333333,-1.51,0.671817058096415,0.172435105067985,0.215080346106304
E01000183,1539,0.0985,19.9556666666667,-1.126,0.551656920077973,0.215724496426251,0.270955165692008
E01000184,1810,0.2745,32.9583333333333,-0.118,0.686740331491713,0.188950276243094,0.139779005524862
E01000185,1463,0.322,26.6216666666667,-0.314,0.699248120300752,0.157211209842789,0.194805194805195
E01000186,1803,0.0875,17.3293333333333,-1.351,0.546311702717693,0.252911813643927,0.237936772046589
E01000187,1771,0.2085,25.2053333333333,-0.655,0.531902879728967,0.273291925465839,0.237154150197628
E01000188,1593,0.156,17.2073333333333,-1.014,0.531701192718142,0.241682360326428,0.292529817953547
E01000189,2463,0.257,21.816,-0.266,0.695899309784815,0.242387332521315,0.0836378400324807
E01000190,1743,0.124,19.301,-1.032,0.580034423407917,0.214572576018359,0.249569707401033
E01000191,1554,0.1415,24.4633333333333,-1.302,0.525740025740026,0.227155727155727,0.288931788931789
E01000192,2026,0.197,31.7993333333333,-0.821,0.585389930898322,0.222112537018756,0.258637709772952
E01000193,1995,0.2295,28.9456666666667,-0.629,0.656140350877193,0.184461152882206,0.199498746867168
