MSOA21CD,pop,working_pop,elderly_pop,child_pop,working_percent,elderly_percent,child_percent,econ_score,infrastructure_score,health_score
E02004929,6284,3460.0,1916.9999999999995,1279.9999999999993,0.5506047103755569,0.3050604710375556,0.20369191597708455,0.09937499999999999,19.069166666666653,-1.17025
E02004930,6942,4143.999999999998,1730.9999999999998,1466.9999999999977,0.5969461250360124,0.2493517718236819,0.2113223854796885,0.089625,9.720083333333333,-1.20725
E02004931,7134,4109.000000000002,1580.0000000000016,1730.0,0.5759742080179425,0.22147462853938907,0.24250070086907766,0.0915,4.553666666666665,-1.0250000000000001
E02004932,7719,4702.0,1486.000000000001,1786.0000000000002,0.6091462624692318,0.19251198341754125,0.23137712138878097,0.17075,11.21658333333334,-0.18225000000000002
E02004933,6846,4029.9999999999995,1557.9999999999993,1563.9999999999995,0.588664913818288,0.2275781478235465,0.22845457201285416,0.041249999999999995,7.573333333333336,-1.94575
E02004934,7752,5242.0,1239.9999999999984,1549.000000000001,0.6762125902992776,0.15995872033023714,0.19981940144478855,0.099,11.216666666666661,-0.9855
E02004935,9009,6568.0,1265.0000000000011,1572.0000000000002,0.7290487290487291,0.14041514041514055,0.17449217449217452,0.10279999999999997,13.403333333333341,-0.7867999999999999
E02004936,6663,4142.0,1092.000000000001,1631.0000000000014,0.6216419030466757,0.16389013957676735,0.24478463154735125,0.064,7.486916666666675,-1.3345
E02004937,7298,4075.000000000001,2234.000000000001,1375.0000000000005,0.5583721567552755,0.30611126335982475,0.1884077829542341,0.04575,9.607333333333333,-1.6255
E02004939,6681,3975.9999999999995,1526.9999999999986,1465.999999999999,0.5951204909444693,0.22855859901212372,0.21942822930698982,0.164375,10.544250000000016,-0.46799999999999997
E02004940,7721,4823.999999999998,1397.9999999999998,1761.0000000000005,0.6247895350343218,0.18106462893407588,0.22807926434399695,0.17839999999999998,12.309866666666673,-0.5561999999999999
E02004941,9821,6193.999999999999,2084.9999999999995,2022.0,0.6306893391711638,0.21230017309846244,0.20588534772426434,0.154,15.810944444444432,-0.5441666666666666
E02004942,6491,3777.0,1861.999999999999,1230.0000000000018,0.5818826066861809,0.2868587274688028,0.1894931443537208,0.123,13.479,-0.6220000000000001
E02004943,8479,4922.999999999999,2652.999999999999,1477.0000000000005,0.5806109210991861,0.31289067106970153,0.17419507017336955,0.07899999999999999,13.137733333333347,-1.0762
E02004944,8336,5369.000000000001,1270.000000000001,1957.0000000000002,0.6440738963531671,0.15235124760076788,0.23476487523992326,0.1849,19.434466666666683,-0.03180000000000001
