lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
W01000604,1749,40.65,24.7,35.0,0.599771297884505,0.205260148656375,0.245283018867925
W01000605,1808,18.0,17.38,19.2,0.61283185840708,0.188053097345133,0.276548672566372
W01000606,1695,70.2,37.92,45.8,0.568731563421829,0.270206489675516,0.211799410029499
W01000607,2479,30.7,22.52,35.5,0.582492940701896,0.213795885437676,0.245663574021783
W01000608,1393,23.35,27.18,22.8,0.600143575017947,0.14572864321608,0.335965541995693
W01000609,2424,8.2,8.82,7.2,0.50990099009901,0.110561056105611,0.487623762376238
W01000610,1737,4.5,16.06,10.2,0.530224525043178,0.116868163500288,0.450777202072539
W01000611,2168,4.7,14.3,3.8,0.559040590405904,0.187730627306273,0.320571955719557
W01000612,1757,12.0,15.14,5.5,0.55663062037564,0.12122936824132,0.425725668753557
W01000613,2037,9.1,27.8,2.8,0.54246440844379,0.142857142857143,0.444771723122239
W01000614,1416,11.4,29.36,4.3,0.545197740112994,0.17090395480226,0.380649717514124
W01000617,1539,20.5,30.22,7.6,0.560753736192333,0.171539961013645,0.349577647823262
W01000618,1855,6.8,26.62,6.4,0.616172506738545,0.13099730458221,0.32722371967655
W01000619,2015,13.75,11.62,10.8,0.541935483870968,0.148883374689826,0.4
W01000622,1389,5.6,19.52,4.0,0.584593232541397,0.123830093592513,0.401727861771058
W01000623,2070,5.85,23.28,4.8,0.577294685990338,0.157971014492754,0.352173913043478
W01000624,2362,4.35,21.4,8.8,0.580440304826418,0.160033869602032,0.352667231160034
W01000625,1100,42.9,22.84,44.2,0.573636363636364,0.197272727272727,0.257272727272727
W01000626,1617,36.35,24.44,26.8,0.607915893630179,0.181818181818182,0.286332714904143
W01000627,2392,15.5,12.64,11.0,0.579013377926421,0.188963210702341,0.300167224080268
W01000628,1553,12.15,14.34,23.4,0.587894397939472,0.155183515775918,0.321313586606568
W01000629,1611,28.0,23.2,19.0,0.63625077591558,0.173805090006207,0.248913718187461
W01000630,1632,23.55,15.34,20.0,0.600490196078431,0.217524509803922,0.231004901960784
W01000631,1846,63.35,29.6,53.2,0.59100758396533,0.227518959913326,0.223726977248104
W01000632,1335,22.8,12.54,11.3,0.58501872659176,0.173033707865169,0.32434456928839
W01000633,1400,35.0,24.62,26.9,0.563571428571429,0.160714285714286,0.369285714285714
W01000634,1385,15.05,9.1,10.6,0.526353790613718,0.128519855595668,0.435379061371841
W01000635,2440,7.45,13.96,10.0,0.62827868852459,0.185245901639344,0.260245901639344
W01000636,2484,22.45,12.78,27.9,0.626006441223833,0.221014492753623,0.20048309178744
W01000637,1352,28.5,20.42,36.8,0.585798816568047,0.217455621301775,0.275887573964497
W01000638,1154,42.15,30.3,36.0,0.629116117850953,0.218370883882149,0.193240901213172
W01000639,1538,21.25,13.68,20.0,0.597529258777633,0.206762028608583,0.250325097529259
W01000640,1284,1.8,8.88,2.7,0.55607476635514,0.166666666666667,0.359034267912773
W01000641,2113,30.45,29.0,29.6,0.646947468054898,0.139138665404638,0.282536677709418
W01000642,1717,8.15,12.64,20.7,0.555037856726849,0.137449039021549,0.389633080955154
W01000643,1656,20.75,16.04,27.5,0.590579710144927,0.233091787439614,0.210748792270531
W01000644,1991,6.8,13.1,8.4,0.649422400803616,0.195881466599699,0.173279758915118
W01000645,1911,13.3,13.64,16.7,0.631606488749346,0.212454212454212,0.199895342752486
W01000646,2063,21.75,34.46,14.7,0.555016965584101,0.1308773630635,0.413960252060107
W01000647,1417,7.75,37.72,2.7,0.569513055751588,0.136203246294989,0.394495412844037
W01000648,1450,4.4,38.04,7.5,0.582068965517241,0.148275862068966,0.378620689655172
W01000649,1523,4.75,25.62,4.2,0.585686145764938,0.118844386080105,0.397242284963887
W01000650,1584,7.05,45.46,6.6,0.549873737373737,0.138888888888889,0.430555555555556
W01000651,1464,16.0,15.96,16.0,0.637978142076503,0.136612021857924,0.295081967213115
W01000652,1789,34.05,16.68,37.1,0.570709893795416,0.19284516489659,0.305198434879821
W01000653,1503,14.7,11.72,11.6,0.584830339321357,0.136393878908849,0.355954757152362
W01000654,1716,32.85,35.94,24.3,0.652097902097902,0.1497668997669,0.28030303030303
