pfa_code,pfa_name,msoa_code,msoa_name,month,bucket,capacity_version,demand_q25,demand,demand_q75,weighted_demand_q25,weighted_demand,weighted_demand_q75,baseline_alloc,variable_alloc,total_alloc,share_of_force_capacity,total_capacity,prev_month_total_alloc,alloc_change_abs,alloc_change_pct,demand_iqr,demand_iqr_ratio,prev_month_demand,demand_change_abs,demand_change_pct,uncertainty_flag
E23000001,Metropolitan Police,E02000949,Wandsworth 027,2026-02,acquisitive_crime,wider_local_policing,5.9761,18.363,37.3637,2.39548,8.010760000000001,17.311970000000002,3.0864155710315035,1.3442264611899537,4.430642032221457,0.00032194753903658316,13762.0,4.479847149278675,-0.04920511705721786,-1.0983659803022665,31.387600000000003,1.709284975221914,20.433500000000002,-2.0705000000000027,-10.132870041843065,True
E23000001,Metropolitan Police,E02006798,Lewisham 039,2026-02,acquisitive_crime,wider_local_policing,10.306,22.7242,44.1156,4.59651,10.465390000000001,20.75403,2.772764306226609,1.7561197894672576,4.528884095693867,0.0003290861862878845,13762.0,4.730121459459495,-0.20123736376562817,-4.254380473955595,33.8096,1.4878235537444664,27.3246,-4.6004000000000005,-16.836111050116013,True
E23000001,Metropolitan Police,E02006941,Southwark 035,2026-02,disorder_damage,wider_local_policing,8.847100000000001,17.0133,34.5912,8.59318,16.07984,31.04656,1.2130649363510753,2.6982391707778866,3.911304107128962,0.0002842104423142684,13762.0,4.257910848004144,-0.34660674087518206,-8.140300566359926,25.7441,1.5131749866281086,20.4821,-3.468799999999998,-16.935763422695906,True
E23000001,Metropolitan Police,E02006995,Newham 038,2026-02,acquisitive_crime,wider_local_policing,18.9167,39.8074,77.7733,7.682284999999999,16.896520000000002,34.43642,2.3309143101720933,2.8352802088722258,5.1661945190443195,0.00037539561975325674,13762.0,5.4948099212819805,-0.32861540223766106,-5.980468968815441,58.85660000000001,1.478534141893216,47.5816,-7.7742,-16.338668729088557,True
E23000001,Metropolitan Police,E02006997,Newham 040,2026-02,local_reassurance,wider_local_policing,2.7190999999999996,6.2883,14.4146,1.223595,2.829735,6.48657,1.6942769214907287,0.4748369274769625,2.169113848967691,0.00015761617853274896,13762.0,2.313328880458883,-0.14421503149119186,-6.23409117092701,11.695500000000001,1.859882639187062,8.7065,-2.4182000000000006,-27.774651122724407,True
E23000001,Metropolitan Police,E02007009,Lewisham 041,2026-02,local_reassurance,wider_local_policing,4.7346,10.1347,18.351100000000002,2.13057,4.560615,8.257995000000001,2.0777062578556413,0.7652831144984769,2.8429893723541184,0.00020658257319823562,13762.0,2.965738123879045,-0.12274875152492637,-4.138893806455737,13.616500000000002,1.3435523498475537,12.4895,-2.354799999999999,-18.854237559550015,True
E23000002,Cumbria,E02003984,Barrow-in-Furness 008,2026-02,local_reassurance,wider_local_policing,0.7403000000000001,2.5741,9.9869,0.333135,1.158345,4.494105,1.0267063412362498,0.20111506391574283,1.2278214051519927,0.002236468861843338,549.0,1.3699227131051233,-0.14210130795313058,-10.372943421825449,9.2466,3.5921681364360363,4.7176,-2.1435,-45.436238765473966,True
E23000003,Lancashire,E02005259,Preston 007,2026-02,acquisitive_crime,wider_local_policing,5.2356,15.671800000000001,35.7601,2.094555,6.580255,16.159635,2.0507852248038763,0.745921199142509,2.796706423946385,0.0018533508442321969,1509.0,2.8656672857693257,-0.0689608618229407,-2.406450398669616,30.524500000000003,1.9477341466838527,18.4914,-2.8195999999999977,-15.248169419297607,True
E23000004,Merseyside,E02001377,Liverpool 031,2026-02,acquisitive_crime,wider_local_policing,6.329399999999999,16.7804,31.987499999999997,2.5594449999999997,7.806610000000001,15.30674,3.308950022686439,1.025297617015065,4.334247639701504,0.00244045475208418,1776.0,4.363288527954966,-0.02904088825346207,-0.6655734102249085,25.658099999999997,1.5290517508521846,18.7985,-2.0181000000000004,-10.735431018432323,True
E23000004,Merseyside,E02001380,Liverpool 034,2026-02,disorder_damage,wider_local_policing,6.0526,17.401799999999998,35.4564,5.809060000000001,16.167920000000002,31.54146,1.4482044014437112,2.123447930419248,3.571652331862959,0.0020110655021750895,1776.0,3.782506213196417,-0.21085388133345795,-5.574449041162984,29.403800000000004,1.68969876679424,20.367600000000003,-2.965800000000005,-14.561362163436067,True
